movie_id,movie_title,duration,color,language,country
1,Avatar,100,Color,English,USA,
2,Pirates of the Caribbean: At World's End ,103,Color,English,USA,
3,Spectre ,104,Color,English,UK,
4,The Dark Knight Rises ,104,Color,English,USA,
5,Star Wars: Episode VII - The Force Awakens ,106,Color,English,USA,
6,John Carter ,106,Color,English,USA,
7,Spider-Man 3 ,106,Color,English,USA,
8,Tangled ,108,Color,English,USA,
9,Avengers: Age of Ultron ,113,Color,English,USA,
10,Harry Potter and the Half-Blood Prince ,118,Color,English,UK,
11,Batman v Superman: Dawn of Justice ,123,Color,English,USA,
12,Superman Returns ,124,Color,English,USA,
13,Quantum of Solace ,125,Color,English,UK,
14,Pirates of the Caribbean: Dead Man's Chest ,127,Color,English,USA,
15,The Lone Ranger ,128,Color,English,USA,
16,Man of Steel ,128,Color,English,USA,
17,The Chronicles of Narnia: Prince Caspian ,129,Color,English,USA,
18,The Avengers ,130,Color,English,USA,
19,Pirates of the Caribbean: On Stranger Tides ,131,Color,English,USA,
20,Men in Black 3 ,132,Color,English,USA,
21,The Hobbit: The Battle of the Five Armies ,135,Color,English,New Zealand,
22,The Amazing Spider-Man ,136,Color,English,USA,
23,Robin Hood ,140,Color,English,USA,
24,The Hobbit: The Desolation of Smaug ,141,Color,English,USA,
25,The Golden Compass ,142,Color,English,USA,
26,King Kong ,143,Color,English,New Zealand,
27,Titanic ,143,Color,English,USA,
28,Captain America: Civil War ,147,Color,English,USA,
29,Battleship ,148,Color,English,USA,
30,Jurassic World ,150,Color,English,USA,
31,Skyfall ,150,Color,English,UK,
32,Spider-Man 2 ,150,Color,English,USA,
33,Iron Man 3 ,151,Color,English,USA,
34,Alice in Wonderland ,153,Color,English,USA,
35,X-Men: The Last Stand ,153,Color,English,Canada,
36,Monsters University ,156,Color,English,USA,
37,Transformers: Revenge of the Fallen ,156,Color,English,USA,
38,Transformers: Age of Extinction ,164,Color,English,USA,
39,Oz the Great and Powerful ,164,Color,English,USA,
40,The Amazing Spider-Man 2 ,165,Color,English,USA,
41,TRON: Legacy ,169,Color,English,USA,
42,Cars 2 ,169,Color,English,USA,
43,Green Lantern ,173,Color,English,USA,
44,Toy Story 3 ,178,Color,English,USA,
45,Terminator Salvation ,183,Color,English,USA,
46,Furious 7 ,186,Color,English,USA,
47,John Carter ,194,Color,English,USA,
48,Spider-Man 3 ,195,Color,English,USA,
49,Tangled ,201,Color,English,USA,
50,Avengers: Age of Ultron ,345,Color,English,USA,
