movie_id,movie_title,duration,color,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_imdb_link
1,Avatar,178,Color,English,USA,PG-13,237000000,2009,7.9,1.78,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
2,Pirates of the Caribbean: At World's End ,169,Color,English,USA,PG-13,300000000,2007,7.1,2.35,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
3,Spectre ,148,Color,English,UK,PG-13,245000000,2015,6.8,2.35,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1
4,The Dark Knight Rises ,164,Color,English,USA,PG-13,250000000,2012,8.5,2.35,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
5,Star Wars: Episode VII - The Force Awakens             ,345,Color,English,USA,PG-13,983000000,2018,7.1,1.78,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1
6,John Carter ,132,Color,English,USA,PG-13,263700000,2012,6.6,2.35,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
7,Spider-Man 3 ,156,Color,English,USA,PG-13,258000000,2007,6.2,2.35,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
8,Tangled ,100,Color,English,USA,PG,260000000,2010,7.8,1.85,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
9,Avengers: Age of Ultron ,141,Color,English,USA,PG-13,250000000,2015,7.5,2.35,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
10,Harry Potter and the Half-Blood Prince ,153,Color,English,UK,PG,250000000,2009,7.5,2.35,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1
11,Batman v Superman: Dawn of Justice ,183,Color,English,USA,PG-13,250000000,2016,6.9,2.35,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
12,Superman Returns ,169,Color,English,USA,PG-13,209000000,2006,6.1,2.35,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
13,Quantum of Solace ,106,Color,English,UK,PG-13,200000000,2008,6.7,2.35,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1
14,Pirates of the Caribbean: Dead Man's Chest ,151,Color,English,USA,PG-13,225000000,2006,7.3,2.35,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
15,The Lone Ranger ,150,Color,English,USA,PG-13,215000000,2013,6.5,2.35,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1
16,Man of Steel ,143,Color,English,USA,PG-13,225000000,2013,7.2,2.35,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
17,The Chronicles of Narnia: Prince Caspian ,150,Color,English,USA,PG,225000000,2008,6.6,2.35,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
18,The Avengers ,173,Color,English,USA,PG-13,220000000,2012,8.1,1.85,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
19,Pirates of the Caribbean: On Stranger Tides ,136,Color,English,USA,PG-13,250000000,2011,6.7,2.35,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
20,Men in Black 3 ,106,Color,English,USA,PG-13,225000000,2012,6.8,1.85,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
21,The Hobbit: The Battle of the Five Armies ,164,Color,English,New Zealand,PG-13,250000000,2014,7.5,2.35,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1
22,The Amazing Spider-Man ,153,Color,English,USA,PG-13,230000000,2012,7,2.35,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1
23,Robin Hood ,156,Color,English,USA,PG-13,200000000,2010,6.7,2.35,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
24,The Hobbit: The Desolation of Smaug ,186,Color,English,USA,PG-13,225000000,2013,7.9,2.35,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1
25,The Golden Compass ,113,Color,English,USA,PG-13,180000000,2007,6.1,2.35,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1
26,King Kong ,201,Color,English,New Zealand,PG-13,207000000,2005,7.2,2.35,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1
27,Titanic ,194,Color,English,USA,PG-13,200000000,1997,7.7,2.35,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
28,Captain America: Civil War ,147,Color,English,USA,PG-13,250000000,2016,8.2,2.35,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1
29,Battleship ,131,Color,English,USA,PG-13,209000000,2012,5.9,2.35,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1
30,Jurassic World ,124,Color,English,USA,PG-13,150000000,2015,7,2,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1
31,Skyfall ,143,Color,English,UK,PG-13,200000000,2012,7.8,2.35,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1
32,Spider-Man 2 ,135,Color,English,USA,PG-13,200000000,2004,7.3,2.35,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1
33,Iron Man 3 ,195,Color,English,USA,PG-13,200000000,2013,7.2,2.35,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1
34,Alice in Wonderland ,108,Color,English,USA,PG,200000000,2010,6.5,1.85,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1
35,X-Men: The Last Stand ,104,Color,English,Canada,PG-13,210000000,2006,6.8,2.35,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1
36,Monsters University ,104,Color,English,USA,G,200000000,2013,7.3,1.85,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1
