movie_id,movie_title,duration,color,language,country
10,Harry Potter and the Half-Blood Prince ,1,Color,English,UK,
8,Tangled ,100,Color,English,USA,
44,Toy Story 3 ,103,Color,English,USA,
35,X-Men: The Last Stand ,104,Color,English,Canada,
36,Monsters University ,104,Color,English,USA,
13,Quantum of Solace ,106,Color,English,UK,
20,Men in Black 3 ,106,Color,English,USA,
42,Cars 2 ,106,Color,English,USA,
34,Alice in Wonderland ,108,Color,English,USA,
25,The Golden Compass ,113,Color,English,USA,
50,Jack the Giant Slayer ,114,Color,English,USA,
45,Terminator Salvation ,118,Color,English,USA,
43,Green Lantern ,123,Color,English,USA,
47,World War Z ,123,Color,English,USA,
30,Jurassic World ,124,Color,English,USA,
41,TRON: Legacy ,125,Color,English,USA,
39,Oz the Great and Powerful ,130,Color,English,USA,
29,Battleship ,131,Color,English,USA,
6,John Carter ,132,Color,English,USA,
49,Star Trek Into Darkness ,132,Color,English,USA,
32,Spider-Man 2 ,135,Color,English,USA,
19,Pirates of the Caribbean: On Stranger Tides ,136,Color,English,USA,
46,Furious 7 ,140,Color,English,USA,
9,Avengers: Age of Ultron ,141,Color,English,USA,
40,The Amazing Spider-Man 2 ,142,Color,English,USA,
16,Man of Steel ,143,Color,English,USA,
31,Skyfall ,143,Color,English,UK,
28,Captain America: Civil War ,147,Color,English,USA,
3,Spectre ,148,Color,English,UK,
48,X-Men: Days of Future Past ,149,Color,English,USA,
15,The Lone Ranger ,150,Color,English,USA,
17,The Chronicles of Narnia: Prince Caspian ,150,Color,English,USA,
37,Transformers: Revenge of the Fallen ,150,Color,English,USA,
14,Pirates of the Caribbean: Dead Man's Chest ,151,Color,English,USA,
22,The Amazing Spider-Man ,153,Color,English,USA,
7,Spider-Man 3 ,156,Color,English,USA,
23,Robin Hood ,156,Color,English,USA,
4,The Dark Knight Rises ,164,Color,English,USA,
21,The Hobbit: The Battle of the Five Armies ,164,Color,English,New Zealand,
38,Transformers: Age of Extinction ,165,Color,English,USA,
2,Pirates of the Caribbean: At World's End ,169,Color,English,USA,
12,Superman Returns ,169,Color,English,USA,
18,The Avengers ,173,Color,English,USA,
1,Avatar,178,Color,English,USA,
24,The Hobbit: The Desolation of Smaug ,186,Color,English,USA,
27,Titanic ,194,Color,English,USA,
33,Iron Man 3 ,195,Color,English,USA,
26,King Kong ,201,Color,English,New Zealand,
5,Star Wars: Episode VII - The Force Awakens ,345,Color,English,USA,
11,Batman v Superman: Dawn of Justice ,999,Color,English,USA,
