movie_id,movie_title,duration,color,language,country
1,Avatar,100,Color,English,USA,
2,Pirates of the Caribbean: At World's End ,103,Color,English,USA,
3,Spectre ,104,Color,English,UK,
3,Spectre ,104,Color,English,UK,
5,Star Wars: Episode VII - The Force Awakens ,106,Color,English,USA,
3,Spectre ,106,Color,English,UK,
3,Spectre ,106,Color,English,UK,
4,The Dark Knight Rises ,108,Color,English,USA,
4,The Dark Knight Rises ,113,Color,English,USA,
10,Harry Potter and the Half-Blood Prince ,114,Color,English,UK,
11,Batman v Superman: Dawn of Justice ,118,Color,English,USA,
12,Superman Returns ,123,Color,English,USA,
2,Pirates of the Caribbean: At World's End ,123,Color,English,USA,
11,Batman v Superman: Dawn of Justice ,124,Color,English,USA,
2,Pirates of the Caribbean: At World's End ,125,Color,English,USA,
11,Batman v Superman: Dawn of Justice ,130,Color,English,USA,
11,Batman v Superman: Dawn of Justice ,131,Color,English,USA,
11,Batman v Superman: Dawn of Justice ,132,Color,English,USA,
12,Superman Returns ,132,Color,English,USA,
12,Superman Returns ,135,Color,English,USA,
12,Superman Returns ,136,Color,English,USA,
12,Superman Returns ,140,Color,English,USA,
23,Robin Hood ,141,Color,English,USA,
23,Robin Hood ,142,Color,English,USA,
12,Superman Returns ,143,Color,English,USA,
12,Superman Returns ,143,Color,English,USA,
11,Batman v Superman: Dawn of Justice ,147,Color,English,USA,
11,Batman v Superman: Dawn of Justice ,148,Color,English,USA,
11,Batman v Superman: Dawn of Justice ,149,Color,English,USA,
12,Superman Returns ,150,Color,English,USA,
23,Robin Hood ,150,Color,English,USA,
23,Robin Hood ,150,Color,English,USA,
11,Batman v Superman: Dawn of Justice ,151,Color,English,USA,
5,Star Wars: Episode VII - The Force Awakens ,153,Color,English,USA,
22,The Amazing Spider-Man ,153,Color,English,USA,
7,Spider-Man 3 ,156,Color,English,USA,
7,Spider-Man 3 ,156,Color,English,USA,
38,Transformers: Age of Extinction ,164,Color,English,USA,
24,The Hobbit: The Desolation of Smaug ,164,Color,English,USA,
24,The Hobbit: The Desolation of Smaug ,165,Color,English,USA,
26,King Kong ,169,Color,English,New Zealand,
26,King Kong ,169,Color,English,New Zealand,
26,King Kong ,173,Color,English,New Zealand,
26,King Kong ,178,Color,English,New Zealand,
26,King Kong ,183,Color,English,New Zealand,
26,King Kong ,186,Color,English,New Zealand,
26,King Kong ,194,Color,English,New Zealand,
26,King Kong ,195,Color,English,New Zealand,
26,King Kong ,201,Color,English,New Zealand,
5,Star Wars: Episode VII - The Force Awakens ,345,Color,English,USA,
